layer_name,entropy_mean,topk_acc_mean,nan_logits_rate,inf_logits_rate,nan_probs_rate,inf_probs_rate,nan_entropy_rate,inf_entropy_rate
input,,0.25,0.0,0.0,0.0,0.0,1.0,0.0
h.0.attn,,0.375,0.0,0.0,0.0,0.0,1.0,0.0
h.0.mlp,,0.5,0.0,0.0,0.0,0.0,1.0,0.0
h.0,,0.5,0.0,0.0,0.0,0.0,1.0,0.0
h.1.attn,,0.25,0.0,0.0,0.0,0.0,1.0,0.0
h.1.mlp,,0.125,0.0,0.0,0.0,0.0,1.0,0.0
h.1,,0.125,0.0,0.0,0.0,0.0,1.0,0.0
h.2.attn,,0.125,0.0,0.0,0.0,0.0,1.0,0.0
h.2.mlp,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.2,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.3.attn,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.3.mlp,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.3,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.4.attn,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.4.mlp,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.4,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.5.attn,,0.0,0.0,0.0,0.0,0.0,0.75,0.0
h.5.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.5,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.6.attn,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.6.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.6,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.7.attn,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.7.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.7,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.8.attn,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.8.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.8,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.9.attn,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.9.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.9,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.10.attn,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.10.mlp,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.10,,0.125,0.0,0.0,0.0,0.0,0.75,0.0
h.11.attn,,0.25,0.0,0.0,0.0,0.0,1.0,0.0
h.11.mlp,,0.25,0.0,0.0,0.0,0.0,1.0,0.0
h.11,,0.25,0.0,0.0,0.0,0.0,1.0,0.0
