layer_name,entropy_mean,topk_acc_mean,nan_logits_rate,inf_logits_rate,nan_probs_rate,inf_probs_rate,nan_entropy_rate,inf_entropy_rate
embed_tokens,10.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.0.self_attn,9.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.0.mlp,9.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.0,9.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.1.self_attn,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.1.mlp,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.1,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.2.self_attn,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.2.mlp,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.2,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.3.self_attn,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.3.mlp,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.3,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.4.self_attn,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.4.mlp,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.4,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.5.self_attn,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.5.mlp,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.5,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.6.self_attn,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.6.mlp,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.6,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.7.self_attn,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.7.mlp,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.7,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.8.self_attn,10.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.8.mlp,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layers.8,10.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
